source,sphere,scenario,year,ktne
Газ,промисловість,Ліберальний,2020,2151.0
Газ,промисловість,Ліберальний,2025,2381.0
Газ,промисловість,Ліберальний,2030,2371.0
Газ,промисловість,Ліберальний,2035,2417.0
Газ,промисловість,Ліберальний,2040,2432.0
Газ,промисловість,Ліберальний,2045,2474.0
Газ,промисловість,Ліберальний,2050,2467.0
Теплова енергія,промисловість,Ліберальний,2012,4538.0
Теплова енергія,промисловість,Ліберальний,2015,2870.0
Теплова енергія,промисловість,Ліберальний,2020,3168.0
Теплова енергія,промисловість,Ліберальний,2025,3168.0
Теплова енергія,промисловість,Ліберальний,2030,3027.0
Теплова енергія,промисловість,Ліберальний,2035,2845.0
Теплова енергія,промисловість,Ліберальний,2040,2571.0
Теплова енергія,промисловість,Ліберальний,2045,2441.0
Теплова енергія,промисловість,Ліберальний,2050,2139.0
Нафта та нафтопродукти,промисловість,Ліберальний,2012,1246.0
Нафта та нафтопродукти,промисловість,Ліберальний,2015,814.0
Нафта та нафтопродукти,промисловість,Ліберальний,2020,1058.0
Нафта та нафтопродукти,промисловість,Ліберальний,2025,1132.0
Нафта та нафтопродукти,промисловість,Ліберальний,2030,1142.0
Нафта та нафтопродукти,промисловість,Ліберальний,2035,1176.0
Нафта та нафтопродукти,промисловість,Ліберальний,2040,1182.0
Нафта та нафтопродукти,промисловість,Ліберальний,2045,1352.0
Нафта та нафтопродукти,промисловість,Ліберальний,2050,1322.0
Біопаливо та відходи,населення,Ліберальний,2012,936.0
Біопаливо та відходи,населення,Ліберальний,2015,1097.0
Біопаливо та відходи,населення,Ліберальний,2020,430.0
Біопаливо та відходи,населення,Ліберальний,2025,319.0
Біопаливо та відходи,населення,Ліберальний,2030,225.0
Біопаливо та відходи,населення,Ліберальний,2035,137.0
Біопаливо та відходи,населення,Ліберальний,2040,39.0
Біопаливо та відходи,населення,Ліберальний,2045,0.0
Біопаливо та відходи,населення,Ліберальний,2050,0.0
Сонячна енергія,населення,Ліберальний,2012,0.0
Сонячна енергія,населення,Ліберальний,2015,0.0
Сонячна енергія,населення,Ліберальний,2020,0.0
Сонячна енергія,населення,Ліберальний,2025,0.0
Сонячна енергія,населення,Ліберальний,2030,0.0
Сонячна енергія,населення,Ліберальний,2035,170.0
Сонячна енергія,населення,Ліберальний,2040,1091.0
Сонячна енергія,населення,Ліберальний,2045,2426.0
Сонячна енергія,населення,Ліберальний,2050,3713.0
Теплова енергія з ВДЕ,населення,Ліберальний,2012,5.0
Теплова енергія з ВДЕ,населення,Ліберальний,2015,10.0
Теплова енергія з ВДЕ,населення,Ліберальний,2020,317.0
Теплова енергія з ВДЕ,населення,Ліберальний,2025,346.0
Теплова енергія з ВДЕ,населення,Ліберальний,2030,361.0
Теплова енергія з ВДЕ,населення,Ліберальний,2035,433.0
Теплова енергія з ВДЕ,населення,Ліберальний,2040,423.0
Теплова енергія з ВДЕ,населення,Ліберальний,2045,387.0
Теплова енергія з ВДЕ,населення,Ліберальний,2050,406.0
Електроенергія з ВДЕ,населення,Ліберальний,2012,198.0
Електроенергія з ВДЕ,населення,Ліберальний,2015,172.0
Електроенергія з ВДЕ,населення,Ліберальний,2020,462.0
Електроенергія з ВДЕ,населення,Ліберальний,2025,619.0
Електроенергія з ВДЕ,населення,Ліберальний,2030,812.0
Електроенергія з ВДЕ,населення,Ліберальний,2035,1032.0
Електроенергія з ВДЕ,населення,Ліберальний,2040,1244.0
Електроенергія з ВДЕ,населення,Ліберальний,2045,1465.0
Електроенергія з ВДЕ,населення,Ліберальний,2050,1705.0
Вугілля,населення,Ліберальний,2012,715.0
Вугілля,населення,Ліберальний,2015,303.0
Вугілля,населення,Ліберальний,2020,646.0
Вугілля,населення,Ліберальний,2025,566.0
Вугілля,населення,Ліберальний,2030,510.0
Вугілля,населення,Ліберальний,2035,418.0
Вугілля,населення,Ліберальний,2040,324.0
Вугілля,населення,Ліберальний,2045,195.0
Вугілля,населення,Ліберальний,2050,16.0
Електроенергія,населення,Ліберальний,2012,3105.0
Електроенергія,населення,Ліберальний,2015,3012.0
Електроенергія,населення,Ліберальний,2020,2690.0
Електроенергія,населення,Ліберальний,2025,2349.0
Електроенергія,населення,Ліберальний,2030,2124.0
Електроенергія,населення,Ліберальний,2035,2124.0
Електроенергія,населення,Ліберальний,2040,2117.0
Електроенергія,населення,Ліберальний,2045,2119.0
Електроенергія,населення,Ліберальний,2050,2108.0
Газ,населення,Ліберальний,2012,13760.0
Газ,населення,Ліберальний,2015,9083.0
Газ,населення,Ліберальний,2020,10419.0
Газ,населення,Ліберальний,2025,9446.0
Газ,населення,Ліберальний,2030,7823.0
Газ,населення,Ліберальний,2035,7722.0
Газ,населення,Ліберальний,2040,6794.0
Газ,населення,Ліберальний,2045,5707.0
Газ,населення,Ліберальний,2050,4934.0
Теплова енергія,населення,Ліберальний,2012,4677.0
